Date,Feast,Lection 1,Lection 2,Epistle,Gospel,Raw
20 October 2025,Second Sunday Of Moses,Deuteronomy 11:13-12:1,Isaiah 40:18-41:7,Galatians 5:16-end,Luke 8:40-end,20 October 2025 Second Sunday Of Moses Deuteronomy 11:13-12:1 Isaiah 40:18-41:7 Galatians 5:16-end Luke 8:40-end
27 October 2025,Third Sunday Of Moses,Deuteronomy 12:1-25,Isaiah 41:8-20,Galatians 6:1-end,John 5:1-18,27 October 2025 Third Sunday Of Moses Deuteronomy 12:1-25 Isaiah 41:8-20 Galatians 6:1-end John 5:1-18
3 November 2025,First Sunday Of The Hallowing Of The Church,Exodus 40:17-end,Isaiah 6,1 Corinthians 12:28-13:all,Matthew 16:13-19; 21:12-13,3 November 2025 First Sunday Of The Hallowing Of The Church Exodus 40:17-end Isaiah 6 1 Corinthians 12:28-13:all Matthew 16:13-19; 21:12-13
10 November 2025,Second Sunday Of The Hallowing Of The Church,Exodus 39:32-40:16,1 Kings 8:10-28,Hebrews 8:1-9:4,Matthew 12:1-13,10 November 2025 Second Sunday Of The Hallowing Of The Church Exodus 39:32-40:16 1 Kings 8:10-28 Hebrews 8:1-9:4 Matthew 12:1-13
17 November 2025,Third Sunday Of The Hallowing Of The Church,Numbers 7:1-10; 9:15-20,Isaiah 54:1-15,Hebrews 9:5-15 or 1 Corinthians 2:10-3 (all),John 2:12-22,17 November 2025 Third Sunday Of The Hallowing Of The Church Numbers 7:1-10; 9:15-20 Isaiah 54:1-15 Hebrews 9:5-15 or 1 Corinthians 2:10-3 (all) John 2:12-22
24 November 2025,Fourth Sunday Of The Hallowing Of The,Church,1 Kings 6:1-19,Ezekiel 43:1-6; 44:1-5,Hebrews 9:16-end Matthew 22:41-23:22,24 November 2025 Fourth Sunday Of The Hallowing Of The Church 1 Kings 6:1-19 Ezekiel 43:1-6; 44:1-5 Hebrews 9:16-end Matthew 22:41-23:22
1 December 2025,First Sunday Of Annunciation,Genesis,17 Isaiah 42:18-43:13,Ephesians 5:21-6:9,Luke 1:1-25,1 December 2025 First Sunday Of Annunciation Genesis 17 Isaiah 42:18-43:13 Ephesians 5:21-6:9 Luke 1:1-25
8 December 2025,Second Sunday Of Annunciation,Numbers 22:9-23:1,Isaiah 43:14-44:5,Colossians 4:2-end,Luke 1:26-56,8 December 2025 Second Sunday Of Annunciation Numbers 22:9-23:1 Isaiah 43:14-44:5 Colossians 4:2-end Luke 1:26-56
15 December 2025,Third Sunday Of Annunciation,Genesis 18:1-19,Judges 13:2-24,Ephesians,3 Luke 1:57-end,15 December 2025 Third Sunday Of Annunciation Genesis 18:1-19 Judges 13:2-24 Ephesians 3 Luke 1:57-end
22 December 2025,Fourth Sunday Of Annunciation,Genesis 24:50-end,1 Samuel 1:1-18,Ephesians 5:5-20,Matthew 1:18-end,22 December 2025 Fourth Sunday Of Annunciation Genesis 24:50-end 1 Samuel 1:1-18 Ephesians 5:5-20 Matthew 1:18-end
25 December 2025,The Holy Feast Of The Nativity,"Isaiah 7:10-15; 9:1-3,6-7","Micah 4:1-3; 5:2-4,7-9",Galatians 3:15-4:6,Luke 2:1-20,"25 December 2025 The Holy Feast Of The Nativity Isaiah 7:10-15; 9:1-3,6-7 Micah 4:1-3; 5:2-4,7-9 Galatians 3:15-4:6 Luke 2:1-20"
29 December 2025,First Sunday After The Nativity,Genesis 21:1-21,1 Samuel 1:19-end,Galatians 4:18-5:1,Matthew 2,29 December 2025 First Sunday After The Nativity Genesis 21:1-21 1 Samuel 1:19-end Galatians 4:18-5:1 Matthew 2
